run_id,quality_state,max_round,parsed_row_count,dataset,aggregation
cic_simple_01397c3c4f_comp_fedprox_alpha0.1_adv0_dp0_pers0_mu1.0_seed49,complete_or_exceeds_target,20.0,20,cic,fedprox
cic_simple_0157700a08_comp_fedavg_alpha0.02_adv30_dp0_pers0_mu0.0_seed61,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_016d4540a4_comp_median_alpha0.02_adv0_dp0_pers0_mu0.0_seed42,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_0170d9169e_comp_fedavg_alpha1.0_adv30_dp0_pers0_mu0.0_seed60,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_01876cafda_comp_fedprox_alpha0.02_adv0_dp0_pers0_mu0.2_seed43,complete_or_exceeds_target,20.0,20,cic,fedprox
cic_simple_01b4ad5434_comp_fedavg_alpha0.02_adv30_dp0_pers0_mu0.0_seed47,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_01c7260a10_comp_fedprox_alphainf_adv0_dp0_pers0_mu0.005_seed42,complete_or_exceeds_target,20.0,20,cic,fedprox
cic_simple_01dca9da32_comp_fedavg_alphainf_adv30_dp0_pers0_mu0.0_seed47,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_02006e5d34_comp_median_alpha1.0_adv30_dp0_pers0_mu0.0_seed47,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_0205391972_comp_krum_alpha0.05_adv30_dp0_pers0_mu0.0_seed43,complete_or_exceeds_target,20.0,20,cic,krum
cic_simple_020acca581_comp_fedprox_alpha0.2_adv0_dp0_pers0_mu1.0_seed43,complete_or_exceeds_target,20.0,20,cic,fedprox
cic_simple_021e6e7104_comp_median_alpha0.2_adv0_dp0_pers0_mu0.0_seed55,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_021e9001d3_comp_fedavg_alphainf_adv0_dp0_pers0_mu0.005_seed43,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_0229909c7a_comp_krum_alpha0.5_adv30_dp0_pers0_mu0.0_seed45,complete_or_exceeds_target,20.0,20,cic,krum
cic_simple_0248da99b8_comp_krum_alphainf_adv20_dp0_pers0_mu0.0_seed44,complete_or_exceeds_target,20.0,20,cic,krum
cic_simple_025a92cf47_comp_krum_alpha0.05_adv30_dp0_pers0_mu0.0_seed42,complete_or_exceeds_target,20.0,20,cic,krum
cic_simple_02811aa82a_comp_fedavg_alpha0.5_adv20_dp0_pers0_mu0.0_seed47,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_028bd638ec_comp_krum_alpha0.02_adv20_dp0_pers0_mu0.0_seed59,complete_or_exceeds_target,20.0,20,cic,krum
cic_simple_028d312cb9_comp_fedprox_alphainf_adv0_dp0_pers0_mu0.2_seed43,complete_or_exceeds_target,20.0,20,cic,fedprox
cic_simple_02a0ba6459_comp_krum_alpha1.0_adv30_dp0_pers0_mu0.0_seed52,complete_or_exceeds_target,20.0,20,cic,krum
cic_simple_02aa1e2c05_comp_fedavg_alpha0.5_adv0_dp1_pers0_mu0.0_seed45,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_02c03cdf4c_comp_fedavg_alpha1.0_adv0_dp0_pers0_mu0.2_seed44,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_02c903567a_comp_krum_alpha0.1_adv30_dp0_pers0_mu0.0_seed45,complete_or_exceeds_target,20.0,20,cic,krum
cic_simple_0300fdee2e_comp_krum_alpha0.02_adv10_dp0_pers0_mu0.0_seed42,complete_or_exceeds_target,20.0,20,cic,krum
cic_simple_034297dd38_comp_fedavg_alpha0.5_adv10_dp0_pers0_mu0.0_seed44,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_035834e28a_comp_fedavg_alpha0.02_adv0_dp0_pers0_mu0.2_seed45,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_036a207af8_comp_fedavg_alpha0.2_adv10_dp0_pers0_mu0.0_seed59,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_0393658c51_comp_median_alpha0.02_adv30_dp0_pers0_mu0.0_seed46,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_03c02d65a6_comp_fedavg_alpha0.02_adv0_dp0_pers0_mu0.0_seed48,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_03e9a97930_comp_krum_alphainf_adv30_dp0_pers0_mu0.0_seed45,complete_or_exceeds_target,20.0,20,cic,krum
cic_simple_03f90d2af6_comp_bulyan_alpha0.2_adv10_dp0_pers0_mu0.0_seed52,complete_or_exceeds_target,20.0,20,cic,bulyan
cic_simple_03fcc64909_comp_fedavg_alpha0.5_adv0_dp0_pers0_mu0.02_seed43,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_040b911442_comp_fedavg_alpha0.05_adv30_dp0_pers0_mu0.0_seed45,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_040eabf352_comp_fedprox_alphainf_adv0_dp0_pers0_mu0.02_seed44,complete_or_exceeds_target,20.0,20,cic,fedprox
cic_simple_0426d2fcd4_comp_median_alpha0.5_adv20_dp0_pers0_mu0.0_seed52,complete_or_exceeds_target,20.0,20,cic,median
